timestamp,open,high,low,close,volume
2020-01-01 00:00:00,1.1200,1.1215,1.1195,1.1210,850
2020-01-01 01:00:00,1.1210,1.1225,1.1205,1.1220,920
2020-01-01 02:00:00,1.1220,1.1230,1.1210,1.1215,780
2020-01-01 03:00:00,1.1215,1.1220,1.1200,1.1205,650
2020-01-01 04:00:00,1.1205,1.1210,1.1190,1.1195,890
2020-01-01 05:00:00,1.1195,1.1205,1.1185,1.1200,920
2020-01-01 06:00:00,1.1200,1.1220,1.1195,1.1215,1050
2020-01-01 07:00:00,1.1215,1.1235,1.1210,1.1230,1200
2020-01-01 08:00:00,1.1230,1.1245,1.1225,1.1240,1350
2020-01-01 09:00:00,1.1240,1.1250,1.1230,1.1235,980
2020-01-01 10:00:00,1.1235,1.1240,1.1220,1.1225,870
2020-01-01 11:00:00,1.1225,1.1230,1.1210,1.1215,750
2020-01-01 12:00:00,1.1215,1.1225,1.1205,1.1220,820
2020-01-01 13:00:00,1.1220,1.1240,1.1215,1.1235,1100
2020-01-01 14:00:00,1.1235,1.1255,1.1230,1.1250,1250
2020-01-01 15:00:00,1.1250,1.1260,1.1240,1.1245,980
2020-01-01 16:00:00,1.1245,1.1250,1.1230,1.1235,890
2020-01-01 17:00:00,1.1235,1.1245,1.1225,1.1240,920
2020-01-01 18:00:00,1.1240,1.1250,1.1235,1.1245,850
2020-01-01 19:00:00,1.1245,1.1255,1.1240,1.1250,780
2020-01-01 20:00:00,1.1250,1.1260,1.1245,1.1255,720
2020-01-01 21:00:00,1.1255,1.1265,1.1250,1.1260,680
2020-01-01 22:00:00,1.1260,1.1270,1.1255,1.1265,650
2020-01-01 23:00:00,1.1265,1.1275,1.1260,1.1270,620
2020-01-02 00:00:00,1.1270,1.1280,1.1265,1.1275,590
